"","Territorial_Authority","Victimisations_Per_10000","Price","School_Per_10000"
"1","Area Outside Territorial Authority",NA,NA,NA
"2","Ashburton District",169,532157,6
"3","Auckland",391,1259185,3
"4","Buller District",252,336345,9
"5","Carterton District",155,633301,6
"6","Central Hawke's Bay District",158,588040,11
"7","Central Otago District",103,788144,6
"8","Chatham Islands Territory",88,NA,38
"9","Christchurch City",549,730646,4
"10","Clutha District",154,392835,13
"11","Dunedin City",229,616117,6
"12","Far North District",391,700402,10
"13","Gisborne District",421,589585,10
"14","Gore District",215,395015,9
"15","Grey District",264,361677,10
"16","Hamilton City",644,800437,3
"17","Hastings District",399,765170,7
"18","Hauraki District",340,631049,10
"19","Horowhenua District",400,551960,6
"20","Hurunui District",137,624404,9
"21","Invercargill City",375,456153,5
"22","Kaikoura District",310,566219,12
"23","Kaipara District",217,818262,8
"24","Kapiti Coast District",252,805926,3
"25","Kawerau District",419,389679,6
"26","Lower Hutt City",485,768115,5
"27","Mackenzie District",117,750518,15
"28","Manawatu District",268,612575,8
"29","Marlborough District",232,682993,6
"30","Masterton District",396,557633,7
"31","Matamata-Piako District",317,704001,8
"32","Napier City",506,741618,5
"33","Nelson City",311,783897,4
"34","New Plymouth District",250,714371,6
"35","Opotiki District",383,538485,12
"36","Otorohanga District",241,519134,11
"37","Palmerston North City",541,637900,5
"38","Porirua City",343,801428,6
"39","Queenstown-Lakes District",175,1670801,3
"40","Rangitikei District",220,431086,14
"41","Rotorua District",629,638234,6
"42","Ruapehu District",321,369189,17
"43","Selwyn District",132,801054,4
"44","South Taranaki District",333,437608,10
"45","South Waikato District",402,426624,8
"46","South Wairarapa District",197,766986,7
"47","Southland District",132,492354,12
"48","Stratford District",233,471430,13
"49","Tararua District",277,400978,10
"50","Tasman District",182,769331,6
"51","Taupo District",401,829769,5
"52","Tauranga City",404,1017984,3
"53","Thames-Coromandel District",276,1157623,7
"54","Timaru District",197,500787,6
"55","Upper Hutt City",342,725534,4
"56","Waikato District",274,726521,7
"57","Waimakariri District",206,697534,4
"58","Waimate District",159,442382,11
"59","Waipa District",279,871229,6
"60","Wairoa District",350,417440,15
"61","Waitaki District",133,467713,9
"62","Waitomo District",305,398629,18
"63","Wellington City",318,1019077,4
"64","Western Bay of Plenty District",212,976065,4
"65","Westland District",153,394958,14
"66","Whakatane District",409,728386,9
"67","Whanganui District",427,499207,8
"68","Whangarei District",391,736658,5
